Name;URL
Китап радиосы;http://radio.tatmedia.com:8800/kitapfm
Саф радиосы;https://c7.radioboss.fm:18335/stream
Күнел Радиосы;http://live.kunelradio.ru:8000/128.mp3
Курай ФМ;http://av.bimradio.ru:8066/kurai_mp3
Юлдаш (башкирское радио);https://radio.mediacdn.ru/uldash.mp3
Радио Матур;http://radio.matur-tv.ru/radio/radio-mp3-128k
Ватан сердасы (крым татар);http://91.214.128.125:64000/vatan
Ашҡаҙар радиоһы (Башҡортостан);http://radio.mediacdn.ru/ashkadar.mp3
Дулкын радиосы;http://radio.tatmedia.com:8800/Saba
РадиоТМК (Казахстан);http://a4.radioheart.ru:8036/RH13170
Татарская поп музыка;http://pub0101.101.ru:8000/stream/pro/aac/64/246
ТатРадиоЦентр;https://listen4.myradio24.com/trc
Белем радиосы;https://radiobelem.ru/belem128
Тәртип FM (93.1) Казань;https://radio.tatmedia.com:8443/tartipfm
Татар радиосы ;https://tatarradio.hostingradio.ru/tatarradio320.mp3
Болгар радиосы;https://live.bolgarradio.com/b_aac_hifi.m3u8
Татарстан Авазы;https://listen6.myradio24.com/gtrk
Роксана радиосы;https://listen1.myradio24.com/2761
Татарская Народная Музыка;https://pub0302.101.ru:8000/stream/pro/aac/64/262
Әтнә театры интернет-радиосы;https://c2.radioboss.fm:18571/stream
ТАТАРСТАН МӘДӘНИЯТЕ;https://c20.radioboss.fm:8560/stream
Ногайское радио;http://radio05.ru:8000/nogayskoe_radio_128
Таван радио (Чувашское);http://icecast.ntrk21.ru:8000/tavan
Жулдыз FM;http://91.201.214.229:8000/zhulduz
Классические гитары (181 FM - Classical Guitar);http://listen.181fm.com:7080/181-classicalguitar_128k.mp3
Классик ФМ;http://cfm.jazzandclassic.ru:14536/rcstream.mp3
Классика для учебы;https://m4a-64.jango.com/26/65/24/2665246780157773017.m4a
Бизнес ФМ Казань;https://stream.volnorez.com/live-app/891608
Story FM Radio;https://stream02.pcradio.ru/storyru-med
Радио Фантастики;http://fantasyradioru.no-ip.biz:8002/live
Harrys Magical Stories Radio;https://stream02.pcradio.ru/harry_potter-med
Стругацкие радио;https://stream02.pcradio.ru/strugat_audioshows-med
Радио Антология;https://stream02.pcradio.ru/rad_rdantlgy-med
Литературное радио;https://79.137.234.183:8000/;stream.mp3
Радиотеатр;https://stream02.pcradio.ru/rad_rtrclbrdttr-med
Радио «ЗвукоКнига»;http://94.181.45.104:8005/;stream.nsv/
Умное Радио;https://umnoe.amgradio.ru/Umnoe
Радио Старый портфель;https://stream02.pcradio.ru/rad_oldportfl-med
Радио «Книга»;http://bookradio.hostingradio.ru:8069/fm
Радио классик (русская поэзия);https://stream02.pcradio.ru/radioclassicfmrupoesia-med
Радио Каприз (русская поэзия);https://stream.pcradio.ru/caprice_poetry-med
Радио «Сказка FM»;https://skazka.amgradio.ru/Skazka
Sci-Fi Old Time Radio;https://s1.voscast.com:8653/stream
America Old Time Radio;https://kea.cdnstream.com/1893_128
Krypton Radio;https://station.kryptonradio.com:8080/stream
America’s Old Time Radio Comedy Channel;https://hemnos.cdnstream.com/1666_32
Wild West OTR Channel;https://kea.cdnstream.com/1838_32
Old Time Tales;https://strw3.openstream.co/903
Crime Fighter Detectives Channel;https://hemnos.cdnstream.com/1665_32
Mystery And Suspense Radio;https://hemnos.cdnstream.com/1667_32
AudioBook Radio;https://audiobookradio.out.airtime.pro/audiobookradio_a
Юмор FM. Классика Жанра;http://pub0302.101.ru:8000/stream/pro/aac/64/21
Юмор FM. Non-Stop;http://pub0302.101.ru:8000/stream/trust/mp3/128/22
Юмор FM. Стендапы;https://pub0102.101.ru:8443/stream/pro/aac/64/245
Ретро Хит;http://retro.volna.top/Retro
Советская Классика (Русское радио);https://rr-sovclass.hostingradio.ru/sovclass96.aacp
Старое радио музыка;http://server.audiopedia.su:8000/music128
Лихие 90-е (Русское радио);https://rr-90.hostingradio.ru/rr9096.aacp
Родные нулевые (Русское радио);https://rr-00.hostingradio.ru/rr0096.aacp
Звездатые Десятые (Русское радио);https://rr-10.hostingradio.ru/rr1096.aacp
Старое радио;http://server.audiopedia.su:8000/ices64
Cleansing 50's;http://hemnos.cdnstream.com/1464_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149511
Cleansing 70's;http://hemnos.cdnstream.com/1466_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149598
Cleansing 80's;http://hemnos.cdnstream.com/1467_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149641
Cleansing 90's;http://hemnos.cdnstream.com/1468_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149755
Beyond Words;http://hemnos.cdnstream.com/1469_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149901
Cleansing Country;http://hemnos.cdnstream.com/1489_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729150013
Хайповые Двадцатые (Русское радио);https://rr-20.hostingradio.ru/rr2096.aacp
