Name;URL
Китап радиосы;http://radio.tatmedia.com:8800/kitapfm
Саф радиосы;https://c7.radioboss.fm:18335/stream
Күнел Радиосы;http://live.kunelradio.ru:8000/128.mp3
Курай ФМ;http://av.bimradio.ru:8066/kurai_mp3
Юлдаш (башкирское радио);https://radio.mediacdn.ru/uldash.mp3
Радио Матур;http://radio.matur-tv.ru/radio/radio-mp3-128k
Ватан сердасы (крым татар);http://91.214.128.125:64000/vatan
Ашҡаҙар радиоһы (Башҡортостан);http://radio.mediacdn.ru/ashkadar.mp3
Дулкын радиосы;http://radio.tatmedia.com:8800/Saba
РадиоТМК (Казахстан);http://a4.radioheart.ru:8036/RH13170
Татарская поп музыка;http://pub0101.101.ru:8000/stream/pro/aac/64/246
ТатРадиоЦентр;https://listen4.myradio24.com/trc
Белем радиосы;https://radiobelem.ru/belem128
Тәртип FM (93.1) Казань;https://radio.tatmedia.com:8443/tartipfm
Татар радиосы ;https://tatarradio.hostingradio.ru/tatarradio320.mp3
Болгар радиосы;https://live.bolgarradio.com/b_aac_hifi.m3u8
Татарстан Авазы;https://listen6.myradio24.com/gtrk
Роксана радиосы;https://listen1.myradio24.com/2761
Татарская Народная Музыка;https://pub0302.101.ru:8000/stream/pro/aac/64/262
Әтнә театры интернет-радиосы;https://c2.radioboss.fm:18571/stream
ТАТАРСТАН МӘДӘНИЯТЕ;https://c20.radioboss.fm:8560/stream
Ногайское радио;http://radio05.ru:8000/nogayskoe_radio_128
Таван радио (Чувашское);http://icecast.ntrk21.ru:8000/tavan
Жулдыз FM;http://91.201.214.229:8000/zhulduz
